Time_step,y_test_inv,TU_MLP_Pred,TU_GRU_Pred,TU_CNN_Pred,TU_LSTM_Pred
95,349,321.06555,353.47476,363.0837,336.047
100,372,348.30386,357.0955,356.6384,333.58157
105,324,366.70837,376.2146,350.26392,341.34842
110,315,299.6477,333.67163,360.9865,335.1892
115,312,313.29855,332.18268,344.9197,324.12228
120,306,307.08655,327.49518,344.85895,314.2369
125,288,299.8176,322.79355,343.9483,309.47253
130,255,279.87695,302.31177,328.1732,300.4327
135,257,246.36697,270.216,315.6255,286.6724
140,265,261.56854,268.00845,310.24823,279.64233
145,254,266.24136,276.5752,313.94452,279.42377
150,240,249.27666,271.785,310.33737,279.4773
155,254,238.05797,263.13785,300.83887,274.7911
160,251,260.2937,280.4187,303.78198,274.40106
165,234,248.41032,276.0534,299.51498,274.2396
170,255,230.64859,253.13484,297.11823,266.9375
175,330,263.87045,265.9186,286.9048,262.7236
180,362,343.54654,339.2891,308.49646,293.55106
185,310,352.1975,362.33517,364.03226,330.20483
190,277,284.18433,313.24557,378.8564,339.95157
195,323,271.08868,288.6738,348.47858,323.7861
200,360,335.66086,332.54276,345.1772,318.87643