Month,cno_pri
1991-09,455
1991-10,546
1991-11,595
1991-12,636
1992-01,738
1992-02,702
1992-03,644
1992-04,647
1992-05,638
1992-06,589
1992-07,528
1992-08,494
1992-09,501
1992-10,493
1992-11,496
1992-12,461
1993-01,444
1993-02,439
1993-03,427
1993-04,402
1993-05,418
1993-06,436
1993-07,460
1993-08,455
1993-09,424
1993-10,419
1993-11,464
1993-12,615
1994-01,595
1994-02,573
1994-03,539
1994-04,560
1994-05,599
1994-06,608
1994-07,579
1994-08,596
1994-09,622
1994-10,621
1994-11,706
1994-12,692
1995-01,622
1995-02,636
1995-03,632
1995-04,619
1995-05,616
1995-06,668
1995-07,693
1995-08,686
1995-09,677
1995-10,718
1995-11,750
1995-12,718
1996-01,711
1996-02,738
1996-03,723
1996-04,756
1996-05,778
1996-06,816
1996-07,775
1996-08,742
1996-09,721
1996-10,722
1996-11,760
1996-12,777
1997-01,768
1997-02,768
1997-03,737
1997-04,710
1997-05,654
1997-06,637
1997-07,597
1997-08,567
1997-09,615
1997-10,627
1997-11,616
1997-12,586
1998-01,558
1998-02,559
1998-03,578
1998-04,618
1998-05,723
1998-06,652
1998-07,667
1998-08,667
1998-09,652
1998-10,695
1998-11,752
1998-12,774
1999-01,763
1999-02,745
1999-03,700
1999-04,827
1999-05,874
1999-06,796
1999-07,656
1999-08,684
1999-09,704
1999-10,690
1999-11,703
1999-12,703
2000-01,654
2000-02,591
2000-03,552
2000-04,550
2000-05,481
2000-06,437
2000-07,400
2000-08,371
2000-09,332
2000-10,340
2000-11,367
2000-12,329
2021-01,319
2021-02,285
2021-03,289
2021-04,293
2021-05,295
2021-06,317
2021-07,358
2021-08,363
2021-09,322
2021-10,307
2021-11,330
2021-12,339
2021-01,362
2021-02,376
2021-03,366
2021-04,411
2021-05,420
2021-06,446
2021-07,445
2021-08,443
2021-09,410
2021-10,434
2021-11,457
2021-12,482
2021-01,494
2021-02,477
2021-03,441
2021-04,421
2021-05,440
2021-06,459
2021-07,439
2021-08,421
2021-09,431
2021-10,487
2021-11,515
2021-12,583
2021-01,584
2021-02,642
2021-03,685
2021-04,736
2021-05,716
2021-06,658
2021-07,669
2021-08,627
2021-09,657
2021-10,642
2021-11,659
2021-12,654
2021-01,646
2021-02,646
2021-03,710
2021-04,679
2021-05,647
2021-06,638.75
2021-07,606
2021-08,550
2021-09,559
2021-10,587
2021-11,582
2021-12,553
2021-01,569
2021-02,591
2021-03,575
2021-04,578
2021-05,583
2021-06,575
2021-07,583.25
2021-08,606
2021-09,609
2021-10,626
2021-11,656
2021-12,731.67
2021-01,731
2021-02,763
2021-03,769
2021-04,827.5
2021-05,894
2021-06,979
2021-07,929
2021-08,910
2021-09,930
2021-10,"1,010.00"
2021-11,"1,131.00"
2021-12,"1,153.00"
2021-01,"1,285.00"
2021-02,"1,382.00"
2021-03,"1,471.00"
2021-04,"1,443.00"
2021-05,"1,502.00"
2021-06,"1,551.00"
2021-07,"1,436.00"
2021-08,"1,193.00"
2021-09,"1,110.00"
2021-10,856
2021-11,719
2021-12,740
2021-01,734
2021-02,673
2021-03,625
2021-04,747
2021-05,842.5
2021-06,747
2021-07,685
2021-08,747
2021-09,701
2021-10,706
2021-11,729
2021-12,768
2021-01,784
2021-02,798
2021-03,921
2021-04,940
2021-05,932
2021-06,993
2021-07,"1,031.00"
2021-08,"1,170.00"
2021-09,"1,275.00"
2021-10,"1,412.00"
2021-11,"1,512.00"
2021-12,"1,715.00"
2021-01,"2,038.00"
2021-02,"2,256.00"
2021-03,"1,925.00"
2021-04,"2,089.00"
2021-05,"2,097.00"
2021-06,"1,803.00"
2021-07,"1,662.00"
2021-08,"1,454.00"
2021-09,"1,305.00"
2021-10,"1,208.00"
2021-11,"1,479.00"
2021-12,"1,445.00"
2021-01,"1,451.00"
2021-02,"1,411.00"
2021-03,"1,338.00"
2021-04,"1,348.00"
2021-05,"1,155.00"
2021-06,"1,058.00"
2021-07,"1,070.00"
2021-08,"1,001.00"
2021-09,967
2021-10,898
2021-11,848
2021-12,785
2021-01,828.64
2021-02,853.25
2021-03,818.75
2021-04,791.43
2021-05,822.5
2021-06,890.63
2021-07,860.43
2021-08,892.61
2021-09,985.24
2021-10,985.65
2021-11,"1,274.50"
2021-12,"1,270.00"
2021-01,"1,269.09"
2021-02,"1,364.00"
2021-03,"1,389.05"
2021-04,"1,356.13"
2021-05,"1,413.25"
2021-06,"1,393.25"
2021-07,"1,255.22"
2021-08,"1,187.62"
2021-09,"1,193.41"
2021-10,"1,148.70"
2021-11,"1,191.63"
2021-12,"1,212.14"
2021-01,"1,145.71"
2021-02,"1,160.50"
2021-03,"1,090.68"
2021-04,"1,077.50"
2021-05,"1,131.94"
2021-06,"1,123.64"
2021-07,"1,103.04"
2021-08,"1,032.38"
2021-09,"1,051.59"
2021-10,"1,104.09"
2021-11,"1,071.07"
2021-12,"1,150.00"
2021-01,"1,152.00"
2021-02,"1,218.93"
2021-03,"1,440.48"
2021-04,"1,580.95"
2021-05,"1,439.50"
2021-06,"1,547.95"
2021-07,"1,515.00"
2021-08,"1,575.00"
2021-09,"1,557.39"
2021-10,"1,473.57"
2021-11,"1,553.41"
2021-12,"1,727.14"
2021-01,"1,818.64"
2021-02,"1,688.25"
2021-03,"1,542.39"
2021-04,"1,589.72"
2021-05,"1,719.29"
2021-06,"1,869.76"
2021-07,"1,644.05"
2021-08,"1,845.00"
2021-09,"1,600.95"
2021-10,"1,484.77"
2021-11,"1,554.32"
2021-12,"1,450.66"
2021-01,"1,393.86"
2021-02,"1,244.25"
2021-03,"1,118.63"
2021-04,"1,131.18"
2021-05,"1,027.75"
2021-06,931.19
2021-07,916.25
2021-08,915.22
2021-09,907.9
2021-10,839.54
2021-11,786.6
2021-12,796.27
2021-01,773.07
2021-02,710.43
2021-03,678.56
2021-04,668.63
2021-05,661.17
2021-06,635.6
2021-07,657.31
2021-08,719.28
2021-09,724.03
2021-10,719.52
2021-11,836.29
2021-12,"1,015.66"
2021-01,992.66
2021-02,844.12
2021-03,837.72
2021-04,834.51
2021-05,832.33
2021-06,916.38
2021-07,888.31
2021-08,981.3
2021-09,"1,034.18"
2021-10,"1,118.36"
2021-11,"1,368.95"
2021-12,"1,464.96"
2021-01,"1,463.07"
2021-02,"1,444.50"
2021-03,"1,540.65"
2021-04,"1,659.64"
2021-05,"1,716.94"
2021-06,"1,670.68"
2021-07,"1,584.09"
2021-08,"1,498.44"