Month,sfo_pri
2021-02,578
2021-03,557
2021-04,552
2021-05,574
2021-06,595
2021-08,610
2021-01,612
2021-02,595
2021-03,565
2021-04,578
2021-05,595
2021-06,609
2021-07,575
2021-08,543
2021-09,545
2021-10,615
2021-11,628
2021-12,660
2021-01,689
2021-02,731
2021-03,712
2021-04,696
2021-05,684
2021-06,632
2021-07,624
2021-08,632
2021-09,657
2021-10,701
2021-11,727
2021-12,724
2021-01,699
2021-02,695
2021-03,714
2021-04,695
2021-05,700
2021-06,706
2021-07,708
2021-08,682
2021-09,683
2021-10,646
2021-11,598
2021-12,602
2021-01,591
2021-02,595
2021-03,606
2021-04,659
2021-05,679
2021-06,666
2021-07,647
2021-08,666
2021-09,669
2021-10,666
2021-11,722
2021-12,730
2021-01,719
2021-02,709
2021-03,713
2021-04,755
2021-05,831
2021-06,916
2021-07,999
2021-08,"1,114.00"
2021-09,"1,279.00"
2021-10,"1,358.00"
2021-11,"1,401.00"
2021-12,"1,469.00"
2021-01,"1,709.00"
2021-02,"1,839.00"
2021-03,"1,863.00"
2021-04,"1,838.00"
2021-05,"1,962.00"
2021-06,"2,045.00"
2021-07,"1,692.00"
2021-08,"1,319.00"
2021-09,"1,176.00"
2021-10,950
2021-11,835
2021-12,759
2021-01,817
2021-02,805
2021-03,757
2021-04,843
2021-05,941
2021-06,907
2021-07,804
2021-08,820
2021-09,809
2021-10,846
2021-11,921
2021-12,986
2021-01,968
2021-02,948
2021-03,949
2021-04,924
2021-05,910
2021-06,889
2021-07,937
2021-08,"1,074.00"
2021-09,"1,114.00"
2021-10,"1,284.00"
2021-11,"1,441.00"
2021-12,"1,454.00"
2021-01,"1,492.00"
2021-02,"1,704.74"
2021-03,"1,636.96"
2021-04,"1,634.05"
2021-05,"1,644.09"
2021-06,"1,699.32"
2021-07,"1,672.38"
2021-08,"1,671.30"
2021-09,"1,591.59"
2021-10,"1,483.81"
2021-11,"1,502.50"
2021-12,"1,439.77"
2021-01,"1,451.82"
2021-02,"1,485.00"
2021-03,"1,500.68"
2021-04,"1,551.90"
2021-05,"1,522.17"
2021-06,"1,430.48"
2021-07,"1,472.27"
2021-08,"1,525.43"
2021-09,"1,572.25"
2021-10,"1,302.61"
2021-11,"1,285.23"
2021-12,"1,271.90"
2021-01,"1,298.48"
2021-02,"1,285.75"
2021-03,"1,249.76"
2021-04,"1,221.14"
2021-05,"1,227.73"
2021-06,"1,245.25"
2021-07,"1,210.87"
2021-08,"1,111.67"
2021-09,"1,005.71"
2021-10,"1,008.48"
2021-11,"1,004.05"
2021-12,996
2021-01,951.82
2021-02,953
2021-03,984.76
2021-04,952.25
2021-05,951.5
2021-06,942.38
2021-07,908.04
2021-08,853.75
2021-09,834.09
2021-10,888.26
2021-11,922.75
2021-12,900.95
2021-01,870.71
2021-02,825
2021-03,804.55
2021-04,833.5
2021-05,916.05
2021-06,927.95
2021-07,917.39
2021-08,894.75
2021-09,896.82
2021-10,961.59
2021-11,915.24
2021-12,898.18
2021-01,885.35
2021-02,898.19
2021-03,859.19
2021-04,875.95
2021-05,881
2021-06,860.23
2021-07,832.86
2021-08,830.35
2021-09,865.73
2021-10,873
2021-11,873
2021-12,873
2021-01,873
2021-02,873
2021-03,835.17
2021-04,797.67
2021-05,795
2021-06,794.36
2021-07,793
2021-08,815.74
2021-09,822.24
2021-10,804.82
2021-11,809.86
2021-12,800.76
2021-01,799.04
2021-02,806
2021-03,800.91
2021-04,799.33
2021-05,801.32
2021-06,775
2021-07,780.05
2021-08,763.23
2021-09,733.95
2021-10,718.04
2021-11,706.09
2021-12,703
2021-01,688.13
2021-02,700
2021-03,711.71
2021-04,713
2021-05,721.57
2021-06,725
2021-07,753.83
2021-08,776
2021-09,776
2021-10,776
2021-11,776
2021-12,805.16
2021-01,840.33
2021-02,823
2021-03,730
2021-04,732.1
2021-05,738.26
2021-06,788.36
2021-07,833.17
2021-08,877.14
2021-09,"1,041.73"
2021-10,"1,040.69"
2021-11,"1,176.12"
2021-12,"1,240.71"
2021-01,"1,353.21"
2021-02,"1,444.89"
2021-03,"1,708.44"
2021-04,"1,667.82"
2021-05,"1,680.32"
2021-06,"1,375.09"
2021-07,"1,359.46"
2021-08,"1,444.54"